run_idx,start_idx,end_idx,skip_range,search_skip_layers,total_skip_layers,l2_mean,l2_max,l2_std,value_diff_mean,value_diff_max,bin_idx_dist_mean,bin_idx_dist_max,bin_idx_dist_std,anomalies,has_nan,has_inf,has_extremes,always_exclude_layers,always_include_layers
168,23,29,23-29,7,7,0.014576957304277592,0.04477144651702905,0.012987213312422499,0.004164281379380094,0.03137254901960779,1.3392857142857142,9.0,2.0639489344655875,False,False,False,False,,
169,19,25,19-25,7,7,0.014605414844233049,0.042405927400866086,0.012116799520902232,0.0035248174525617897,0.023529411764705854,0.9821428571428571,7.0,1.445325858322162,False,False,False,False,,
170,9,27,9-27,19,19,0.014767207815242146,0.040226263139192774,0.011752327649807678,0.004457656853838852,0.023529411764705854,1.1785714285714286,9.0,1.6594657364984202,False,False,False,False,,
171,12,16,12-16,5,5,0.014777783824538818,0.042727839081514805,0.011442884400444156,0.0043904462230736725,0.023529411764705854,1.25,9.0,1.5612494995995996,False,False,False,False,,
172,8,25,8-25,18,18,0.014795576582472688,0.028810746350824867,0.006245188096086894,0.004437765146706595,0.01568627450980392,1.2678571428571428,9.0,1.5176470442828296,False,False,False,False,,
173,4,7,4-7,4,4,0.014886523160681217,0.03434765684686981,0.010840142911156092,0.003787021098409673,0.03299947492956201,1.0,10.0,1.7217101133134214,False,False,False,False,,
174,11,30,11-30,20,20,0.014956597788228485,0.028810746350824867,0.007616780015701944,0.004499423564842461,0.01568627450980392,1.25,9.0,1.4910446960820074,False,False,False,False,,
175,29,29,29-29,1,1,0.014972706750655335,0.07949185025334984,0.025442307763204997,0.002372198893214202,0.07843137254901955,0.44642857142857145,10.0,1.5802310280591305,False,False,False,False,,
176,4,4,4-4,1,1,0.014974892686582263,0.04284793245034043,0.013771073366669455,0.0034121974081467716,0.023529411764705854,0.9285714285714286,10.0,1.9166296949998196,False,False,False,False,,
177,1,29,1-29,29,29,0.015013513189966167,0.028810746350824867,0.010716976661818535,0.004454771948043094,0.023529411764705854,1.1428571428571428,9.0,1.52863818278805,False,False,False,False,,
178,10,29,10-29,20,20,0.015051408429546814,0.03385272246255266,0.00762601611640119,0.004050210125378975,0.023529411764705854,1.125,10.0,1.6263730462948178,False,False,False,False,,
179,6,9,6-9,4,4,0.015111656583813325,0.04284793245034043,0.014113785643225286,0.003834799582545015,0.03137254901960773,1.1071428571428572,10.0,2.023774509501027,False,False,False,False,,
180,19,23,19-23,5,5,0.01532596093889272,0.04284793245034043,0.017331882185300646,0.003909704540669224,0.036659663994840774,0.9821428571428571,8.0,1.7473558741768682,False,False,False,False,,
181,9,15,9-15,7,7,0.015488260572257906,0.0450181032356857,0.013420139364071725,0.004132276705355029,0.036176471384514186,1.1428571428571428,10.0,1.7871422861709723,False,False,False,False,,
182,4,10,4-10,7,7,0.015554598699098615,0.048252652171741184,0.01624638030269158,0.003220545765889114,0.04823529517935243,0.8571428571428571,10.0,1.9032732277820328,False,False,False,False,,
183,7,15,7-15,9,9,0.015657058206951808,0.037137487011469926,0.011192066252881076,0.004518038508033094,0.03299947492956201,1.1964285714285714,9.0,1.5858711312392186,False,False,False,False,,
184,18,25,18-25,8,8,0.015797760792733317,0.029830511690138197,0.008997556874371732,0.0031347951912587815,0.02932773119587251,0.9464285714285714,10.0,1.684166208046739,False,False,False,False,,
185,18,22,18-22,5,5,0.015835992133078375,0.04258722040220269,0.01242371715677059,0.0036975771906743236,0.026399579943649387,1.0535714285714286,10.0,1.8843305258399452,False,False,False,False,,
186,2,9,2-9,8,8,0.01584487044936425,0.028810746350824867,0.008440560369072385,0.004410370438436324,0.026399579943649498,1.1785714285714286,9.0,1.5481226286923746,False,False,False,False,,
187,13,27,13-27,15,15,0.01584487044936425,0.028810746350824867,0.008440560369072385,0.004410370438436324,0.026399579943649498,1.1785714285714286,9.0,1.5481226286923746,False,False,False,False,,
188,11,22,11-22,12,12,0.015857117350899074,0.028810746350824867,0.005259264074738615,0.004889662784469124,0.01568627450980392,1.3928571428571428,9.0,1.4599238168549782,False,False,False,False,,
189,2,25,2-25,24,24,0.01586635861106717,0.0314862315468738,0.011497087035017957,0.004783987388630103,0.0235294117647058,1.4642857142857142,13.0,2.154433018836525,False,False,False,False,,
190,2,6,2-6,5,5,0.015925995014620657,0.028810746350824867,0.008276122319929509,0.003931230026934213,0.023529411764705854,0.8928571428571429,10.0,1.6656034023372885,False,False,False,False,,
191,14,27,14-27,14,14,0.015929842704879488,0.028810746350824867,0.008549112016898704,0.0045180385080330916,0.026399579943649498,1.1964285714285714,9.0,1.5401721014356857,False,False,False,False,,
192,10,15,10-15,6,6,0.01596654974531661,0.04284793245034043,0.01570652039300062,0.004669399055004195,0.023529411764705854,1.2321428571428572,9.0,1.7927539810957591,False,False,False,False,,
193,10,19,10-19,10,10,0.01606582006257976,0.028810746350824867,0.005851332520618505,0.005007659361673898,0.01568627450980392,1.3571428571428572,9.0,1.4069796859708719,False,False,False,False,,
194,17,25,17-25,9,9,0.016080511521239092,0.034131109811187395,0.011502472809354148,0.004261544667713702,0.03235294198155497,1.4464285714285714,25.0,3.4893697898921867,False,False,False,False,,
195,5,8,5-8,4,4,0.01609130941080105,0.07146669316827366,0.021744877211398162,0.0042259391711293275,0.04399159679380871,1.1607142857142858,13.0,2.305093627741195,False,False,False,False,,
196,6,7,6-7,2,2,0.016197132945208678,0.042405927400866086,0.014397461772717151,0.00410223092324176,0.023529411764705854,0.9464285714285714,7.0,1.4810667349817117,False,False,False,False,,
197,9,10,9-10,2,2,0.016203569049180522,0.04284793245034043,0.016998047533853523,0.00467283355564409,0.023529411764705854,1.1785714285714286,10.0,1.9374794271455489,False,False,False,False,,
198,5,6,5-6,2,2,0.016223173052483452,0.057359372629226704,0.017653559130442305,0.004164765328301691,0.04220588328193342,1.375,10.0,2.438987641273673,False,False,False,False,,
199,8,14,8-14,7,7,0.016538797434965564,0.060700050002523,0.01992191002292653,0.0036966430617980475,0.05939905487321162,0.9285714285714286,10.0,2.0076384746507423,False,False,False,False,,
